Time,Report Time,LatLng,rad,Locate Type,Strength,Cell Tower,is_sz,Network,Wifi,Br,Charging
"02/10/2025 17:09:47","02/10/2025 17:09:46","51.489804, -0.261031","192","wifi","-24 dBm","139_5824274_234_15","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-65|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","29%","NO"
"02/10/2025 16:48:23","02/10/2025 16:48:22","51.489804, -0.261031","192","wifi","-25 dBm","139_5824274_234_15","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-65|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","20%","NO"
"02/10/2025 16:17:03","02/10/2025 16:17:00","51.489804, -0.261031","192","wifi","-27 dBm","139_5824274_234_15","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-70|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","18%","NO"
"02/10/2025 15:58:08","02/10/2025 15:58:00","51.489804, -0.261031","192","wifi","-26 dBm","139_5824274_234_15","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-66|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","18%","NO"
"02/10/2025 15:54:02","02/10/2025 15:54:00","51.489804, -0.261031","192","wifi","-12 dBm","139_155938_234_15","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-66|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","18%","NO"
"02/10/2025 15:34:01","02/10/2025 15:34:00","51.489804, -0.261031","192","wifi","-26 dBm","65534_5824274_234_15","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-73|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","19%","NO"
"02/10/2025 15:10:03","02/10/2025 15:10:00","51.489804, -0.261031","192","wifi","-24 dBm","65534_9365784_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-72|80:69:1a:09:b3:c6,-67|fa:b4:6a:69:8b:19,-70|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|3c:7c:3f:da:bb:38,-79|fe:3f:db:cf:67:b6,-80|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-71","20%","NO"
"02/10/2025 15:01:01","02/10/2025 15:01:00","51.489804, -0.261031","192","wifi","-23 dBm","9910_9365784_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-63|fa:b4:6a:69:8b:19,-68|80:bc:37:48:c9:94,-71|80:bc:37:48:c9:93,-71|80:69:1a:09:b3:c6,-78|fe:3f:db:cf:67:b6,-83|3c:7c:3f:da:bb:38,-86|80:bc:37:48:c9:91,-71|80:bc:37:48:c9:90,-71|00:22:6c:1b:0d:92,-88","18%","NO"
"02/10/2025 14:40:03","02/10/2025 14:40:02","51.489804, -0.261031","192","wifi","-19 dBm","9910_9365784_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-65|fa:b4:6a:69:8b:19,-69|80:bc:37:48:c9:94,-70|80:bc:37:48:c9:93,-70|80:69:1a:09:b3:c6,-71|fe:3f:db:cf:67:b6,-83|3c:7c:3f:da:bb:38,-84|80:bc:37:48:c9:91,-70|80:bc:37:48:c9:90,-70|00:22:6c:1b:0d:92,-88","18%","NO"
"02/10/2025 14:39:04","02/10/2025 14:39:03","51.489804, -0.261031","192","wifi","-23 dBm","9910_9365784_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-67|80:bc:37:48:c9:93,-65|80:bc:37:48:c9:94,-65|de:cd:2f:7d:e5:89,-70|80:69:1a:09:b3:c6,-73|26:3f:0b:da:64:88,-81|3c:7c:3f:da:bb:38,-82|5e:62:5a:ee:c3:34,-85|00:1d:aa:be:55:c0,-86|e4:c3:2a:33:f4:90,-88|80:bc:37:48:c9:91,-65|80:bc:37:48:c9:90,-65","18%","NO"
